Robinson Crusoe , Daniel Defoe
Gulliver’s Travels , Jonathan Swift
David Copperfield , Charles Dickens
Alice’s Adventures in Wonderland , Lewis Carroll
The Adventures of Huckleberry Finn , Mark Twain
The Picture of Dorian Gray , Oscar Wilde
Dracula , Bram Stoker
The Call of the Wild , Jack London
The Great Gatsby , F Scott Fitzgerald
The Sun Also Rises , Ernest Hemingway
Sister Carrie , Theodore Dreiser
Kim , Rudyard Kipling
Under the Volcano , Malcolm Lowry
The Heat of the Day , Elizabeth Bowen
Nineteen Eighty-Four , George Orwell
The Adventures of Augie March , Saul Bellow
Lord of the Flies , William Golding
Lolita , Vladimir Nabokov
To Kill a Mockingbird , Harper Lee
A Clockwork Orange , Anthony Burges
An Artist of the Floating World , Kazuo Ishiguro
Underworld , Don DeLillo
True History of the Kelly Gang , Peter Carey
Midnight’s Children , Salman Rushdie
Song of Solomon , Toni Morrison
